record,species,count,lat
654,Wedge-tailed shearwater,1,-45
655,Black-winged petrel,2,-46
656,Kermadec petrel DRK,1,-46
657,Wandering albatross sensu lato PL2,1,-46
658,Wandering albatross sensu lato PL3,2,-46
659,Wandering albatross sensu lato PL4,1,-46
660,Wandering albatross sensu lato PL1,1,-46
661,Wandering albatross sensu lato PL3,1,-46
662,Wandering albatross sensu lato PL4,1,-46
663,Grey-faced petrel,3,-44
664,Black-winged petrel,3,-44
665,Wandering albatross sensu lato PL1,1,-45
666,Wandering albatross sensu lato PL2,1,-45
667,Wandering albatross sensu lato PL3,1,-45
668,Wandering albatross sensu lato PL4,1,-45
669,Grey-faced petrel,4,-44
670,Gould's petrel,3,-44
671,Black-winged petrel,7,-43
672,Wandering albatross sensu lato PL2,1,-42
673,Wandering albatross sensu lato PL3,2,-42
674,Wandering albatross sensu lato PL4,1,-42
675,Grey-faced petrel,8,-42
676,Gould's petrel,10,-42
677,Sooty tern,6,-41
678,Wandering albatross sensu lato PL1,1,-39
679,Wandering albatross sensu lato PL2,1,-39
680,Wandering albatross sensu lato,3,-39
681,Grey-faced petrel,2,-39
682,Wandering albatross sensu lato PL2,2,-38
683,Wandering albatross sensu lato PL3,1,-39
684,Grey-faced petrel,1,-39
685,Black-winged petrel,1,-39
